vref,Protasis,Protasis IDs,Protasis Glosses,Protasis Greek,Apodosis,Apodosis IDs,Apodosis Glosses,Apodosis Greek,result,Duplicates,Possible_Tokens
1CO 8:2,if anyone imagines that he knows something,"('n46008002001', 'n46008002002', 'n46008002003', 'n46008002004', 'n46008002005', 'n46008002006')","('If', 'anyone', 'thinks', 'to have known', 'anything', 'not yet')","('εἴ', 'τις', 'δοκεῖ', 'ἐγνωκέναι', 'τι', 'οὔπω')",he does not yet know as he ought to know,"('n46008002007', 'n46008002008', 'n46008002009', 'n46008002010')","('does he know', 'as', 'it is necessary', 'to know')","('ἔγνω', 'καθὼς', 'δεῖ', 'γνῶναι')",pass,,"[('n46008002001', 'If', 'εἴ'), ('n46008002002', 'anyone', 'τις'), ('n46008002003', 'thinks', 'δοκεῖ'), ('n46008002004', 'to have known', 'ἐγνωκέναι'), ('n46008002005', 'anything', 'τι'), ('n46008002006', 'not yet', 'οὔπω'), ('n46008002007', 'does he know', 'ἔγνω'), ('n46008002008', 'as', 'καθὼς'), ('n46008002009', 'it is necessary', 'δεῖ'), ('n46008002010', 'to know', 'γνῶναι')]"
1CO 8:3,but if anyone loves God,"('n46008003001', 'n46008003003', 'n46008003004', 'n46008003005', 'n46008003006')","('If', 'anyone', 'loves', '-', 'God')","('εἰ', 'τις', 'ἀγαπᾷ', 'τὸν', 'θεόν')",he is known by God,"('n46008003007', 'n46008003008', 'n46008003009', 'n46008003010')","('he', 'is known', 'by', 'Him')","('οὗτος', 'ἔγνωσται', 'ὑπ’', 'αὐτοῦ')",pass,,"[('n46008003001', 'If', 'εἰ'), ('n46008003002', 'however', 'δέ'), ('n46008003003', 'anyone', 'τις'), ('n46008003004', 'loves', 'ἀγαπᾷ'), ('n46008003005', '-', 'τὸν'), ('n46008003006', 'God', 'θεόν'), ('n46008003007', 'he', 'οὗτος'), ('n46008003008', 'is known', 'ἔγνωσται'), ('n46008003009', 'by', 'ὑπ’'), ('n46008003010', 'Him', 'αὐτοῦ')]"
1CO 8:5,even though there may be so-called gods...,"('n46008005001', 'n46008005003', 'n46008005004', 'n46008005005', 'n46008005006')","('Even', 'if indeed', 'there are', '[those] called', 'gods')","('καὶ', 'εἴπερ', 'εἰσὶν', 'λεγόμενοι', 'θεοὶ')",yet for us there is one God...,"('n46008005009', 'n46008005012', 'n46008005014', 'n46008005015', 'n46008005018')","('heaven', 'earth', 'there are', 'gods', 'lords')","('οὐρανῷ', 'γῆς', 'εἰσὶν', 'θεοὶ', 'κύριοι')",pass,,"[('n46008005001', 'Even', 'καὶ'), ('n46008005002', 'truly', 'γὰρ'), ('n46008005003', 'if indeed', 'εἴπερ'), ('n46008005004', 'there are', 'εἰσὶν'), ('n46008005005', '[those] called', 'λεγόμενοι'), ('n46008005006', 'gods', 'θεοὶ'), ('n46008005007', 'whether', 'εἴτε'), ('n46008005008', 'in', 'ἐν'), ('n46008005009', 'heaven', 'οὐρανῷ'), ('n46008005010', 'or', 'εἴτε'), ('n46008005011', 'on', 'ἐπὶ'), ('n46008005012', 'earth', 'γῆς'), ('n46008005013', 'as', 'ὥσπερ'), ('n46008005014', 'there are', 'εἰσὶν'), ('n46008005015', 'gods', 'θεοὶ'), ('n46008005016', 'many', 'πολλοὶ'), ('n46008005017', 'and', 'καὶ'), ('n46008005018', 'lords', 'κύριοι'), ('n46008005019', 'many', 'πολλοί')]"
1CO 8:5,NaN,"('n46008005001', 'n46008005003', 'n46008005004', 'n46008005005', 'n46008005006')","('Even', 'if indeed', 'there are', '[those] called', 'gods')","('καὶ', 'εἴπερ', 'εἰσὶν', 'λεγόμενοι', 'θεοὶ')",NaN,"('n46008005009', 'n46008005012', 'n46008005014', 'n46008005015', 'n46008005018')","('heaven', 'earth', 'there are', 'gods', 'lords')","('οὐρανῷ', 'γῆς', 'εἰσὶν', 'θεοὶ', 'κύριοι')",pass,,"[('n46008005001', 'Even', 'καὶ'), ('n46008005002', 'truly', 'γὰρ'), ('n46008005003', 'if indeed', 'εἴπερ'), ('n46008005004', 'there are', 'εἰσὶν'), ('n46008005005', '[those] called', 'λεγόμενοι'), ('n46008005006', 'gods', 'θεοὶ'), ('n46008005007', 'whether', 'εἴτε'), ('n46008005008', 'in', 'ἐν'), ('n46008005009', 'heaven', 'οὐρανῷ'), ('n46008005010', 'or', 'εἴτε'), ('n46008005011', 'on', 'ἐπὶ'), ('n46008005012', 'earth', 'γῆς'), ('n46008005013', 'as', 'ὥσπερ'), ('n46008005014', 'there are', 'εἰσὶν'), ('n46008005015', 'gods', 'θεοὶ'), ('n46008005016', 'many', 'πολλοὶ'), ('n46008005017', 'and', 'καὶ'), ('n46008005018', 'lords', 'κύριοι'), ('n46008005019', 'many', 'πολλοί')]"
1CO 8:8,if we do not eat,"('n46008008010', 'n46008008015', 'n46008008016')","('if', 'not', 'we should eat')","('ἐὰν', 'μὴ', 'φάγωμεν')",we are no worse off,"('n46008008003', 'n46008008004', 'n46008008005', 'n46008008006', 'n46008008007')","('us', 'not', 'will commend', 'to', 'God')","('ἡμᾶς', 'οὐ', 'παραστήσει', 'τῷ', 'θεῷ')",pass,,"[('n46008008001', 'Food', 'βρῶμα'), ('n46008008002', 'however', 'δὲ'), ('n46008008003', 'us', 'ἡμᾶς'), ('n46008008004', 'not', 'οὐ'), ('n46008008005', 'will commend', 'παραστήσει'), ('n46008008006', 'to', 'τῷ'), ('n46008008007', 'God', 'θεῷ'), ('n46008008008', 'neither', 'οὔτε'), ('n46008008009', nan, 'γὰρ'), ('n46008008010', 'if', 'ἐὰν'), ('n46008008011', 'we should eat', 'φάγωμεν'), ('n46008008012', 'have we an advantage', 'περισσεύομεν'), ('n46008008013', 'nor', 'οὔτε'), ('n46008008014', 'if', 'ἐὰν'), ('n46008008015', 'not', 'μὴ'), ('n46008008016', 'we should eat', 'φάγωμεν'), ('n46008008017', 'do we come short', 'ὑστερούμεθα')]"
1CO 8:8,if we do,"('n46008008010', 'n46008008015', 'n46008008016')","('if', 'not', 'we should eat')","('ἐὰν', 'μὴ', 'φάγωμεν')",and no better of,"('n46008008003', 'n46008008004', 'n46008008005', 'n46008008006', 'n46008008007')","('us', 'not', 'will commend', 'to', 'God')","('ἡμᾶς', 'οὐ', 'παραστήσει', 'τῷ', 'θεῷ')",pass,,"[('n46008008001', 'Food', 'βρῶμα'), ('n46008008002', 'however', 'δὲ'), ('n46008008003', 'us', 'ἡμᾶς'), ('n46008008004', 'not', 'οὐ'), ('n46008008005', 'will commend', 'παραστήσει'), ('n46008008006', 'to', 'τῷ'), ('n46008008007', 'God', 'θεῷ'), ('n46008008008', 'neither', 'οὔτε'), ('n46008008009', nan, 'γὰρ'), ('n46008008010', 'if', 'ἐὰν'), ('n46008008011', 'we should eat', 'φάγωμεν'), ('n46008008012', 'have we an advantage', 'περισσεύομεν'), ('n46008008013', 'nor', 'οὔτε'), ('n46008008014', 'if', 'ἐὰν'), ('n46008008015', 'not', 'μὴ'), ('n46008008016', 'we should eat', 'φάγωμεν'), ('n46008008017', 'do we come short', 'ὑστερούμεθα')]"
1CO 8:10,for if anyone sees you who have knowledge eating in an idol's temple,"('n46008010001', 'n46008010003', 'n46008010004', 'n46008010005', 'n46008010006', 'n46008010007', 'n46008010008', 'n46008010009', 'n46008010010', 'n46008010011')","('If', 'anyone', 'sees', 'you', '-', 'having', 'knowledge', 'in', 'an idol’s temple', 'eating')","('ἐὰν', 'τις', 'ἴδῃ', 'σὲ', 'τὸν', 'ἔχοντα', 'γνῶσιν', 'ἐν', 'εἰδωλείῳ', 'κατακείμενον')",will he not be encouraged if his conscience is weak to eat food offered to idols,"('n46008010012', 'n46008010013', 'n46008010014', 'n46008010015', 'n46008010016', 'n46008010017', 'n46008010018', 'n46008010019', 'n46008010020', 'n46008010021', 'n46008010022', 'n46008010023')","('not', 'the', 'conscience', 'of him', 'weak', 'being', 'will be built up', 'so as', 'the', 'things', 'sacrificed to idols', 'to eat')","('οὐχὶ', 'ἡ', 'συνείδησις', 'αὐτοῦ', 'ἀσθενοῦς', 'ὄντος', 'οἰκοδομηθήσεται', 'εἰς', 'τὸ', 'τὰ', 'εἰδωλόθυτα', 'ἐσθίειν')",fail,,"[('n46008010001', 'If', 'ἐὰν'), ('n46008010002', 'for', 'γάρ'), ('n46008010003', 'anyone', 'τις'), ('n46008010004', 'sees', 'ἴδῃ'), ('n46008010005', 'you', 'σὲ'), ('n46008010006', '-', 'τὸν'), ('n46008010007', 'having', 'ἔχοντα'), ('n46008010008', 'knowledge', 'γνῶσιν'), ('n46008010009', 'in', 'ἐν'), ('n46008010010', 'an idol’s temple', 'εἰδωλείῳ'), ('n46008010011', 'eating', 'κατακείμενον'), ('n46008010012', 'not', 'οὐχὶ'), ('n46008010013', 'the', 'ἡ'), ('n46008010014', 'conscience', 'συνείδησις'), ('n46008010015', 'of him', 'αὐτοῦ'), ('n46008010016', 'weak', 'ἀσθενοῦς'), ('n46008010017', 'being', 'ὄντος'), ('n46008010018', 'will be built up', 'οἰκοδομηθήσεται'), ('n46008010019', 'so as', 'εἰς'), ('n46008010020', 'the', 'τὸ'), ('n46008010021', 'things', 'τὰ'), ('n46008010022', 'sacrificed to idols', 'εἰδωλόθυτα'), ('n46008010023', 'to eat', 'ἐσθίειν')]"
1CO 8:13,if food makes my brother stumble,"('n46008013002', 'n46008013003', 'n46008013004', 'n46008013005', 'n46008013006', 'n46008013007')","('if', 'food', 'snares', 'the', 'brother', 'of me')","('εἰ', 'βρῶμα', 'σκανδαλίζει', 'τὸν', 'ἀδελφόν', 'μου')",I will never eat meat,"('n46008013010', 'n46008013011', 'n46008013012', 'n46008013013', 'n46008013014')","('shall I eat', 'meat', 'to', 'the', 'age')","('φάγω', 'κρέα', 'εἰς', 'τὸν', 'αἰῶνα')",fail,,"[('n46008013001', 'Therefore', 'διόπερ'), ('n46008013002', 'if', 'εἰ'), ('n46008013003', 'food', 'βρῶμα'), ('n46008013004', 'snares', 'σκανδαλίζει'), ('n46008013005', 'the', 'τὸν'), ('n46008013006', 'brother', 'ἀδελφόν'), ('n46008013007', 'of me', 'μου'), ('n46008013008', 'never', 'οὐ'), ('n46008013009', 'not', 'μὴ'), ('n46008013010', 'shall I eat', 'φάγω'), ('n46008013011', 'meat', 'κρέα'), ('n46008013012', 'to', 'εἰς'), ('n46008013013', 'the', 'τὸν'), ('n46008013014', 'age', 'αἰῶνα'), ('n46008013015', 'so that', 'ἵνα'), ('n46008013016', 'not', 'μὴ'), ('n46008013017', 'the', 'τὸν'), ('n46008013018', 'brother', 'ἀδελφόν'), ('n46008013019', 'of me', 'μου'), ('n46008013020', 'I might snare', 'σκανδαλίσω')]"
1CO 9:2,if to others I am not an apostle,"('n46009002001', 'n46009002002', 'n46009002003', 'n46009002004', 'n46009002005')","('If', 'to others', 'not', 'I am', 'an apostle')","('εἰ', 'ἄλλοις', 'οὐ', 'εἰμὶ', 'ἀπόστολος')",at least I am to you,"('n46009002006', 'n46009002007', 'n46009002008', 'n46009002009', 'n46009002010', 'n46009002011', 'n46009002012', 'n46009002013', 'n46009002014', 'n46009002015', 'n46009002016', 'n46009002017', 'n46009002018', 'n46009002019')","('yet', 'at least', 'to you', 'I am', 'the', 'for', 'seal', 'of my', 'the', 'apostleship', 'you', 'are', 'in', '[the] Lord')","('ἀλλά', 'γε', 'ὑμῖν', 'εἰμι', 'ἡ', 'γὰρ', 'σφραγίς', 'μου', 'τῆς', 'ἀποστολῆς', 'ὑμεῖς', 'ἐστε', 'ἐν', 'κυρίῳ')",pass,,"[('n46009002001', 'If', 'εἰ'), ('n46009002002', 'to others', 'ἄλλοις'), ('n46009002003', 'not', 'οὐ'), ('n46009002004', 'I am', 'εἰμὶ'), ('n46009002005', 'an apostle', 'ἀπόστολος'), ('n46009002006', 'yet', 'ἀλλά'), ('n46009002007', 'at least', 'γε'), ('n46009002008', 'to you', 'ὑμῖν'), ('n46009002009', 'I am', 'εἰμι'), ('n46009002010', 'the', 'ἡ'), ('n46009002011', 'for', 'γὰρ'), ('n46009002012', 'seal', 'σφραγίς'), ('n46009002013', 'of my', 'μου'), ('n46009002014', 'the', 'τῆς'), ('n46009002015', 'apostleship', 'ἀποστολῆς'), ('n46009002016', 'you', 'ὑμεῖς'), ('n46009002017', 'are', 'ἐστε'), ('n46009002018', 'in', 'ἐν'), ('n46009002019', '[the] Lord', 'κυρίῳ')]"
1CO 9:11,if we have sown spiritual things among you,"('n46009011001', 'n46009011002', 'n46009011003', 'n46009011004', 'n46009011005', 'n46009011006')","('If', 'we', 'among you', '-', 'spiritual things', 'have sown')","('εἰ', 'ἡμεῖς', 'ὑμῖν', 'τὰ', 'πνευματικὰ', 'ἐσπείραμεν')",NaN,"('n46009011013',)","('will reap',)","('θερίσομεν',)",fail,,"[('n46009011001', 'If', 'εἰ'), ('n46009011002', 'we', 'ἡμεῖς'), ('n46009011003', 'among you', 'ὑμῖν'), ('n46009011004', '-', 'τὰ'), ('n46009011005', 'spiritual things', 'πνευματικὰ'), ('n46009011006', 'have sown', 'ἐσπείραμεν'), ('n46009011007', '[is it] a great thing', 'μέγα'), ('n46009011008', 'if', 'εἰ'), ('n46009011009', 'we', 'ἡμεῖς'), ('n46009011010', 'from you', 'ὑμῶν'), ('n46009011011', '-', 'τὰ'), ('n46009011012', 'material things', 'σαρκικὰ'), ('n46009011013', 'will reap', 'θερίσομεν')]"
1CO 9:11,if we reap material things from you?,"('n46009011001', 'n46009011002', 'n46009011003', 'n46009011004', 'n46009011005', 'n46009011006')","('If', 'we', 'among you', '-', 'spiritual things', 'have sown')","('εἰ', 'ἡμεῖς', 'ὑμῖν', 'τὰ', 'πνευματικὰ', 'ἐσπείραμεν')",is it too much,"('n46009011013',)","('will reap',)","('θερίσομεν',)",fail,,"[('n46009011001', 'If', 'εἰ'), ('n46009011002', 'we', 'ἡμεῖς'), ('n46009011003', 'among you', 'ὑμῖν'), ('n46009011004', '-', 'τὰ'), ('n46009011005', 'spiritual things', 'πνευματικὰ'), ('n46009011006', 'have sown', 'ἐσπείραμεν'), ('n46009011007', '[is it] a great thing', 'μέγα'), ('n46009011008', 'if', 'εἰ'), ('n46009011009', 'we', 'ἡμεῖς'), ('n46009011010', 'from you', 'ὑμῶν'), ('n46009011011', '-', 'τὰ'), ('n46009011012', 'material things', 'σαρκικὰ'), ('n46009011013', 'will reap', 'θερίσομεν')]"
1CO 9:11,if we have sown spiritual things among you,"('n46009011001', 'n46009011002', 'n46009011003', 'n46009011005', 'n46009011006')","('If', 'we', 'among you', 'spiritual things', 'have sown')","('εἰ', 'ἡμεῖς', 'ὑμῖν', 'πνευματικὰ', 'ἐσπείραμεν')",NaN,"('n46009011013',)","('will reap',)","('θερίσομεν',)",pass,,"[('n46009011001', 'If', 'εἰ'), ('n46009011002', 'we', 'ἡμεῖς'), ('n46009011003', 'among you', 'ὑμῖν'), ('n46009011004', '-', 'τὰ'), ('n46009011005', 'spiritual things', 'πνευματικὰ'), ('n46009011006', 'have sown', 'ἐσπείραμεν'), ('n46009011007', '[is it] a great thing', 'μέγα'), ('n46009011008', 'if', 'εἰ'), ('n46009011009', 'we', 'ἡμεῖς'), ('n46009011010', 'from you', 'ὑμῶν'), ('n46009011011', '-', 'τὰ'), ('n46009011012', 'material things', 'σαρκικὰ'), ('n46009011013', 'will reap', 'θερίσομεν')]"
1CO 9:11,if we reap material things from you?,"('n46009011001', 'n46009011002', 'n46009011003', 'n46009011005', 'n46009011006')","('If', 'we', 'among you', 'spiritual things', 'have sown')","('εἰ', 'ἡμεῖς', 'ὑμῖν', 'πνευματικὰ', 'ἐσπείραμεν')",is it too much,"('n46009011013',)","('will reap',)","('θερίσομεν',)",pass,,"[('n46009011001', 'If', 'εἰ'), ('n46009011002', 'we', 'ἡμεῖς'), ('n46009011003', 'among you', 'ὑμῖν'), ('n46009011004', '-', 'τὰ'), ('n46009011005', 'spiritual things', 'πνευματικὰ'), ('n46009011006', 'have sown', 'ἐσπείραμεν'), ('n46009011007', '[is it] a great thing', 'μέγα'), ('n46009011008', 'if', 'εἰ'), ('n46009011009', 'we', 'ἡμεῖς'), ('n46009011010', 'from you', 'ὑμῶν'), ('n46009011011', '-', 'τὰ'), ('n46009011012', 'material things', 'σαρκικὰ'), ('n46009011013', 'will reap', 'θερίσομεν')]"
1CO 9:12,If others share this rightful claim on you,"('n46009012001', 'n46009012002', 'n46009012003', 'n46009012004', 'n46009012005', 'n46009012006', 'n46009012007', 'n46009012008')","('If', 'others', 'of the', 'over you', 'authority', 'partake', '[should] not', 'more')","('εἰ', 'ἄλλοι', 'τῆς', 'ὑμῶν', 'ἐξουσίας', 'μετέχουσιν', 'οὐ', 'μᾶλλον')",do not we even more?,"('n46009012009', 'n46009012010', 'n46009012011', 'n46009012012', 'n46009012013', 'n46009012014', 'n46009012015')","('we', 'But', 'not', 'we did use', 'the', 'right', 'this')","('ἡμεῖς', 'Ἀλλ’', 'οὐ', 'ἐχρησάμεθα', 'τῇ', 'ἐξουσίᾳ', 'ταύτῃ')",fail,,"[('n46009012001', 'If', 'εἰ'), ('n46009012002', 'others', 'ἄλλοι'), ('n46009012003', 'of the', 'τῆς'), ('n46009012004', 'over you', 'ὑμῶν'), ('n46009012005', 'authority', 'ἐξουσίας'), ('n46009012006', 'partake', 'μετέχουσιν'), ('n46009012007', '[should] not', 'οὐ'), ('n46009012008', 'more', 'μᾶλλον'), ('n46009012009', 'we', 'ἡμεῖς'), ('n46009012010', 'But', 'Ἀλλ’'), ('n46009012011', 'not', 'οὐ'), ('n46009012012', 'we did use', 'ἐχρησάμεθα'), ('n46009012013', 'the', 'τῇ'), ('n46009012014', 'right', 'ἐξουσίᾳ'), ('n46009012015', 'this', 'ταύτῃ'), ('n46009012016', 'Instead', 'ἀλλὰ'), ('n46009012017', 'all things', 'πάντα'), ('n46009012018', 'we bear', 'στέγομεν'), ('n46009012019', 'so that', 'ἵνα'), ('n46009012020', 'not', 'μή'), ('n46009012021', 'any', 'τινα'), ('n46009012022', 'hindrance', 'ἐγκοπὴν'), ('n46009012023', 'we should place', 'δῶμεν'), ('n46009012024', 'to the', 'τῷ'), ('n46009012025', 'gospel', 'εὐαγγελίῳ'), ('n46009012026', 'of', 'τοῦ'), ('n46009012027', 'Christ', 'Χριστοῦ')]"
1CO 9:16,If I preach the gospel,"('n46009016001', 'n46009016003')","('If', 'I preach the gospel')","('ἐὰν', 'εὐαγγελίζωμαι')",that gives me no ground for boasting,"('n46009016004', 'n46009016005', 'n46009016006', 'n46009016007')","('nothing', 'there is', 'to me', 'boasting')","('οὐ', 'ἔστιν', 'μοι', 'καύχημα')",fail,,"[('n46009016001', 'If', 'ἐὰν'), ('n46009016002', 'for', 'γὰρ'), ('n46009016003', 'I preach the gospel', 'εὐαγγελίζωμαι'), ('n46009016004', 'nothing', 'οὐ'), ('n46009016005', 'there is', 'ἔστιν'), ('n46009016006', 'to me', 'μοι'), ('n46009016007', 'boasting', 'καύχημα'), ('n46009016008', 'necessity', 'ἀνάγκη'), ('n46009016009', 'for', 'γάρ'), ('n46009016010', 'me', 'μοι'), ('n46009016011', 'is laid upon', 'ἐπίκειται'), ('n46009016012', 'Woe', 'οὐαὶ'), ('n46009016013', 'however', 'γάρ'), ('n46009016014', 'to me', 'μοί'), ('n46009016015', 'be', 'ἐστιν'), ('n46009016016', 'if', 'ἐὰν'), ('n46009016017', 'not', 'μὴ'), ('n46009016018', 'I should preach the gospel', 'εὐαγγελίσωμαι')]"
1CO 9:16,if I do [did] not preach the gospel,"('n46009016001', 'n46009016003')","('If', 'I preach the gospel')","('ἐὰν', 'εὐαγγελίζωμαι')",Woe to me,"('n46009016004', 'n46009016005', 'n46009016006', 'n46009016007')","('nothing', 'there is', 'to me', 'boasting')","('οὐ', 'ἔστιν', 'μοι', 'καύχημα')",fail,,"[('n46009016001', 'If', 'ἐὰν'), ('n46009016002', 'for', 'γὰρ'), ('n46009016003', 'I preach the gospel', 'εὐαγγελίζωμαι'), ('n46009016004', 'nothing', 'οὐ'), ('n46009016005', 'there is', 'ἔστιν'), ('n46009016006', 'to me', 'μοι'), ('n46009016007', 'boasting', 'καύχημα'), ('n46009016008', 'necessity', 'ἀνάγκη'), ('n46009016009', 'for', 'γάρ'), ('n46009016010', 'me', 'μοι'), ('n46009016011', 'is laid upon', 'ἐπίκειται'), ('n46009016012', 'Woe', 'οὐαὶ'), ('n46009016013', 'however', 'γάρ'), ('n46009016014', 'to me', 'μοί'), ('n46009016015', 'be', 'ἐστιν'), ('n46009016016', 'if', 'ἐὰν'), ('n46009016017', 'not', 'μὴ'), ('n46009016018', 'I should preach the gospel', 'εὐαγγελίσωμαι')]"
1CO 9:17,for if I do this of my own will,"('n46009017001', 'n46009017003', 'n46009017004', 'n46009017005')","('If', 'willingly', 'this', 'I do')","('εἰ', 'ἑκὼν', 'τοῦτο', 'πράσσω')",I have a reward,"('n46009017006', 'n46009017007')","('a reward', 'I have')","('μισθὸν', 'ἔχω')",pass,,"[('n46009017001', 'If', 'εἰ'), ('n46009017002', 'for', 'γὰρ'), ('n46009017003', 'willingly', 'ἑκὼν'), ('n46009017004', 'this', 'τοῦτο'), ('n46009017005', 'I do', 'πράσσω'), ('n46009017006', 'a reward', 'μισθὸν'), ('n46009017007', 'I have', 'ἔχω'), ('n46009017008', 'if', 'εἰ'), ('n46009017009', 'however', 'δὲ'), ('n46009017010', 'unwillingly', 'ἄκων'), ('n46009017011', 'a stewardship', 'οἰκονομίαν'), ('n46009017012', 'I am entrusted with', 'πεπίστευμαι')]"
1CO 9:17,but if not of my own will,"('n46009017001', 'n46009017003', 'n46009017004', 'n46009017005')","('If', 'willingly', 'this', 'I do')","('εἰ', 'ἑκὼν', 'τοῦτο', 'πράσσω')",I am still entrusted with a stewardship,"('n46009017006', 'n46009017007')","('a reward', 'I have')","('μισθὸν', 'ἔχω')",pass,,"[('n46009017001', 'If', 'εἰ'), ('n46009017002', 'for', 'γὰρ'), ('n46009017003', 'willingly', 'ἑκὼν'), ('n46009017004', 'this', 'τοῦτο'), ('n46009017005', 'I do', 'πράσσω'), ('n46009017006', 'a reward', 'μισθὸν'), ('n46009017007', 'I have', 'ἔχω'), ('n46009017008', 'if', 'εἰ'), ('n46009017009', 'however', 'δὲ'), ('n46009017010', 'unwillingly', 'ἄκων'), ('n46009017011', 'a stewardship', 'οἰκονομίαν'), ('n46009017012', 'I am entrusted with', 'πεπίστευμαι')]"
1CO 10:27,if one of the unbelievers invites you to dinner and you are disposed to go,"('n46010027001', 'n46010027002', 'n46010027003', 'n46010027004', 'n46010027005', 'n46010027006', 'n46010027007', 'n46010027008', 'n46010027009')","('If', 'anyone', 'invites', 'you', 'of the', 'unbelieving', 'and', 'you wish', 'to go')","('εἴ', 'τις', 'καλεῖ', 'ὑμᾶς', 'τῶν', 'ἀπίστων', 'καὶ', 'θέλετε', 'πορεύεσθαι')",eat whatever is set before you without raising any question on the ground of conscience,"('n46010027010', 'n46010027011', 'n46010027012', 'n46010027013', 'n46010027014', 'n46010027015', 'n46010027016', 'n46010027017', 'n46010027018', 'n46010027019')","('everything', '-', 'being set before', 'you', 'eat', 'nothing', 'inquiring', 'on account of', '-', 'conscience')","('πᾶν', 'τὸ', 'παρατιθέμενον', 'ὑμῖν', 'ἐσθίετε', 'μηδὲν', 'ἀνακρίνοντες', 'διὰ', 'τὴν', 'συνείδησιν')",pass,,"[('n46010027001', 'If', 'εἴ'), ('n46010027002', 'anyone', 'τις'), ('n46010027003', 'invites', 'καλεῖ'), ('n46010027004', 'you', 'ὑμᾶς'), ('n46010027005', 'of the', 'τῶν'), ('n46010027006', 'unbelieving', 'ἀπίστων'), ('n46010027007', 'and', 'καὶ'), ('n46010027008', 'you wish', 'θέλετε'), ('n46010027009', 'to go', 'πορεύεσθαι'), ('n46010027010', 'everything', 'πᾶν'), ('n46010027011', '-', 'τὸ'), ('n46010027012', 'being set before', 'παρατιθέμενον'), ('n46010027013', 'you', 'ὑμῖν'), ('n46010027014', 'eat', 'ἐσθίετε'), ('n46010027015', 'nothing', 'μηδὲν'), ('n46010027016', 'inquiring', 'ἀνακρίνοντες'), ('n46010027017', 'on account of', 'διὰ'), ('n46010027018', '-', 'τὴν'), ('n46010027019', 'conscience', 'συνείδησιν')]"
1CO 10:28,"but if someone says to you ""this has been offered in sacrifice""","('n46010028001', 'n46010028002', 'n46010028003', 'n46010028004', 'n46010028005', 'n46010028006', 'n46010028007', 'n46010028008')","('If', 'however', 'anyone', 'to you', 'should say', 'This', 'offered to an idol', 'is')","('ἐὰν', 'δέ', 'τις', 'ὑμῖν', 'εἴπῃ', 'Τοῦτο', 'ἱερόθυτόν', 'ἐστιν')",then do not eat it,"('n46010028009', 'n46010028010', 'n46010028011', 'n46010028012', 'n46010028013', 'n46010028014', 'n46010028015', 'n46010028016', 'n46010028017')","('not', 'do eat', 'on account of', 'him', '-', 'having shown [it]', 'and', '-', 'conscience')","('μὴ', 'ἐσθίετε', 'δι’', 'ἐκεῖνον', 'τὸν', 'μηνύσαντα', 'καὶ', 'τὴν', 'συνείδησιν')",pass,,"[('n46010028001', 'If', 'ἐὰν'), ('n46010028002', 'however', 'δέ'), ('n46010028003', 'anyone', 'τις'), ('n46010028004', 'to you', 'ὑμῖν'), ('n46010028005', 'should say', 'εἴπῃ'), ('n46010028006', 'This', 'Τοῦτο'), ('n46010028007', 'offered to an idol', 'ἱερόθυτόν'), ('n46010028008', 'is', 'ἐστιν'), ('n46010028009', 'not', 'μὴ'), ('n46010028010', 'do eat', 'ἐσθίετε'), ('n46010028011', 'on account of', 'δι’'), ('n46010028012', 'him', 'ἐκεῖνον'), ('n46010028013', '-', 'τὸν'), ('n46010028014', 'having shown [it]', 'μηνύσαντα'), ('n46010028015', 'and', 'καὶ'), ('n46010028016', '-', 'τὴν'), ('n46010028017', 'conscience', 'συνείδησιν')]"
1CO 10:30,if I partake with thankfulness,"('n46010030001', 'n46010030002', 'n46010030003', 'n46010030004')","('If', 'I', 'with thankfulness', 'partake')","('εἰ', 'ἐγὼ', 'χάριτι', 'μετέχω')",why am I denounced beacuase of that for which I give thanks?,"('n46010030006', 'n46010030007', 'n46010030008', 'n46010030009', 'n46010030010')","('am I denounced', 'for', 'that which', 'I', 'give thanks')","('βλασφημοῦμαι', 'ὑπὲρ', 'οὗ', 'ἐγὼ', 'εὐχαριστῶ')",pass,,"[('n46010030001', 'If', 'εἰ'), ('n46010030002', 'I', 'ἐγὼ'), ('n46010030003', 'with thankfulness', 'χάριτι'), ('n46010030004', 'partake', 'μετέχω'), ('n46010030005', 'why', 'τί'), ('n46010030006', 'am I denounced', 'βλασφημοῦμαι'), ('n46010030007', 'for', 'ὑπὲρ'), ('n46010030008', 'that which', 'οὗ'), ('n46010030009', 'I', 'ἐγὼ'), ('n46010030010', 'give thanks', 'εὐχαριστῶ')]"
